"doi","date","times.cited"
"10.1128/JCM.01657-09","2010-04",14
"10.1128/JCM.01720-09","2010-04",22
"10.1128/JCM.01737-09","2010-04",11
"10.1128/JCM.01868-09","2010-04",21
"10.1128/JCM.02463-09","2010-04",10
"10.1128/AEM.01423-09","2010-04",98
"10.1128/AEM.01665-09","2010-04",32
"10.1128/AEM.01964-09","2010-04",28
"10.1128/AEM.02101-09","2010-04",56
"10.1128/AEM.02131-09","2010-04",7
"10.1128/AEM.02147-09","2010-04",24
"10.1128/AEM.02391-09","2010-04",44
"10.1128/JB.00002-10","2010-05",14
"10.1128/AEM.02535-09","2010-04",63
"10.1128/AEM.02547-09","2010-04",30
"10.1128/JB.00087-10","2010-04",3
"10.1128/AEM.02902-09","2010-04",72
"10.1128/AEM.02929-09","2010-04",42
"10.1128/AEM.02993-09","2010-04",79
"10.1128/JB.01553-09","2010-04",37
"10.1128/JB.01571-09","2010-06",22
"10.1128/JB.01597-09","2010-04",28
"10.1128/MCB.00900-09","2010-04",36
"10.1128/JB.01631-09","2010-06",58
"10.1128/JB.01666-09","2010-04",36
"10.1128/MCB.01089-09","2010-04",115
"10.1128/MCB.01199-09","2010-04",38
"10.1128/MCB.01247-09","2010-04",19
"10.1128/JB.01703-08","2010-04",22
"10.1128/MCB.01370-09","2010-04",72
"10.1128/MCB.01419-09","2010-04",21
"10.1128/MCB.01436-09","2010-04",3
"10.1128/MCB.01437-09","2010-04",14
"10.1128/MCB.01512-09","2010-04",21
"10.1128/MCB.01553-09","2010-04",27
"10.1128/MBIO.00012-10","2010-05",24
"10.1128/JVI.00010-10","2010-05",5
"10.1128/JVI.01940-09","2010-05",8
"10.1128/JVI.00851-09","2010-05",15
"10.1128/JVI.02066-09","2010-05",25
"10.1128/JVI.02198-09","2010-05",29
"10.1128/JVI.02319-09","2010-05",17
"10.1128/JVI.02365-09","2010-05",32
"10.1128/JVI.02340-09","2010-05",44
"10.1128/JVI.02434-09","2010-05",21
"10.1128/JVI.02478-09","2010-05",57
